num_cidades,alfa_utilizado,beta_utilizado,resultado_distancia,tempo_segundos
91,2.09,3.7,8223,9.8659
79,0.77,3.32,8293,5.5355
41,1.56,1.69,5495,1.0966
347,0.95,2.17,17772,62.0225
235,1.04,2.65,13627,31.4514
256,1.72,4.75,13439,34.2014
228,0.57,2.9,14559,28.3019
29,1.23,4.33,5067,0.914
122,1.86,1.82,9345,18.9857
96,1.13,4.34,8598,10.7943
76,1.98,4.16,7758,6.2347
92,2.46,4.73,8607,8.8731
69,1.99,2.95,7306,4.6434
293,1.81,4.09,15071,46.4961
91,2.08,4.15,8243,7.9357
184,0.5,3.23,11858,58.7276
71,1.82,2.95,7669,6.1255
34,1.86,1.73,5061,0.7384
277,1.63,4.99,14162,38.1748
148,0.98,1.97,10903,34.4668
154,1.29,3.31,10218,35.8803
257,1.06,4.46,14383,36.5705
150,0.62,1.59,13759,34.11
41,2.28,2.83,5329,1.1263
22,1.84,4.89,4488,0.462
186,1.8,1.87,11261,63.2413
213,1.82,1.83,13097,24.8137
141,0.51,2.97,11036,28.7829
319,0.91,2.3,17187,52.4908
137,1.26,4.49,9560,26.5936
33,2.04,1.89,5469,0.904
187,1.51,3.83,11484,60.1657
71,2.24,4.07,7279,4.2431
31,1.34,4.47,5135,0.5391
54,2.04,3.02,6624,2.1527
21,1.54,4.74,4490,0.3848
33,2.13,3.42,5292,0.7289
131,0.92,2.23,10489,24.5137
165,2.29,4.84,11299,43.8666
39,1.64,2.83,5448,0.9376
173,1.77,2.13,11152,50.908
55,2.32,3.63,6480,2.545
104,1.15,2.71,8334,13.0253
80,1.74,1.74,7452,5.8126
114,1.8,2.95,9342,16.1695
277,0.78,4.38,14933,40.8773
29,2.21,2.58,4931,0.9214
279,0.6,3.12,15965,41.1901
32,2.37,2.33,4040,0.5937
42,1.98,4.61,6305,1.1093
387,1.37,3.51,16873,75.0367
67,0.97,4.11,6288,3.6754
69,1.05,3.04,6862,4.9093
26,0.54,2.17,5112,1.2278
238,1.35,3.2,13394,30.814
224,0.55,3.96,13782,27.4766
367,2.3,4.43,17016,65.9971
222,2.37,2.25,13175,27.7499
284,0.54,4.31,15502,42.3485
137,1.63,4.34,10138,27.5256
112,2.24,2.12,9597,16.0983
218,1.79,3.12,12580,26.5156
23,1.47,2.83,4522,0.4913
138,1.55,2.91,10008,27.8383
77,1.35,2.74,7711,5.1277
65,0.79,2.67,7206,3.4032
100,2.07,4.85,8947,12.2506
91,1.97,1.54,8125,9.8427
160,2.09,2.86,10550,42.6526
40,1.55,3.79,5706,1.0339
342,1.45,1.96,16840,59.3268
65,1.42,3.26,6588,3.2653
263,1.62,1.6,14914,37.7371
52,1.46,3.94,5578,1.9229
141,0.51,2.13,12325,29.1059
23,2.47,4.02,3693,0.4602
137,1.89,4.43,10085,27.0566
96,1.08,2.89,7972,10.0412
175,1.31,2.83,11109,53.1222
384,0.7,4.46,18309,73.6212
138,1.75,2.47,9938,27.4826
119,1.71,3.32,9467,17.6795
27,0.94,2.95,4291,0.7226
175,1.71,2.88,11287,53.7654
236,1.59,2.03,13161,29.9587
309,0.6,4.09,16668,48.4511
63,1.1,4.83,6803,4.6504
130,2.26,4.4,9967,23.1191
63,1.35,3.3,6859,4.918
145,2.4,2.87,10680,30.5967
48,1.4,3.14,6353,1.6875
49,0.77,4.0,6172,1.6116
38,2.3,3.17,5971,0.8627
34,0.73,2.46,5258,0.7039
301,1.31,3.29,14547,46.3494
20,1.15,4.26,3724,0.3283
